Accession,Submitters,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_052974,"Kaliniene,L., Noreika,A., Meskys,R.",2021-10-10T00:00:00Z,,Achromobacter phage vB_AchrS_AchV4,dsDNA,59489,Lithuania,,Achromobacter,,2018-11-01
NC_052978,"Nguyen,J., Harb,L., Moreland,R., Liu,M., Gill,J.J., Ramsey,J., Nyugen,J.",2021-10-10T00:00:00Z,,Proteus phage Saba,dsDNA,60056,"USA: College Station, TX",TX,Proteus mirabilis,,2018
NC_055956,"Dunstan,R.A., Pickard,D., Lithgow,T., Dougan,G.",2021-10-10T00:00:00Z,,Klebsiella phage RAD2,dsDNA,49276,,,Klebsiella pneumoniae,,
NC_056724,"Mahanivong,C., Boyce,J.D., Davidson,B.E., Hillier,A.J.",2021-08-11T00:00:00Z,,Lactococcus virus BK5T,dsDNA,40003,,,Lactococcus,,
NC_055706,"Pramono,A.K., Kuwahara,H., Itoh,T., Toyoda,A., Yamada,A., Hongoh,Y., Ajeng,P.",2021-06-02T00:00:00Z,ProJPt-Bp1,Azobacteroides phage ProJPt-Bp1,dsDNA,99517,,,Candidatus Azobacteroides pseudotrichonymphae,,
NC_055707,"Uchiyama,J., Matsuzaki,S.",2021-06-02T00:00:00Z,,Mycobacterium phage HC,dsDNA,46305,,,Mycobacterium,,
NC_055708,"Farrokhzad,K., Applegate,B.M., Zhang,J.",2021-06-02T00:00:00Z,,Enterobacteria phage ATK47,dsDNA,170020,USA,,Escherichia coli,,2014-01-15
NC_055709,"Amarillas,L., Leon-Felix,J.",2021-06-02T00:00:00Z,,Escherichia phage phiE142,dsDNA,121442,Mexico,,Escherichia coli,,2014-03-04
NC_055710,"Crummett,L.T., Puxty,R.J., Weihe,C., Marston,M.F., Martiny,J.B., Martiny,J.B.H.",2021-06-02T00:00:00Z,0210CC35,Synechococcus phage S-CAM22,dsDNA,172230,"USA: Crystal Cove, California",CA,Synechococcus sp.,,2010-02-17
NC_055711,"Cruz-Plancarte,I., Cazares,A., Guarneros,G., Cruz Plancarte,I.",2021-06-02T00:00:00Z,,Pseudomonas phage PaMx41,dsDNA,43490,Mexico,,Pseudomonas aeruginosa,,2006
NC_055712,"Pereira,C., Moreirinha,C., Cunha,A., Lewicka,M., Almeida,P.J., Clemente,C., Romalde,J.L., Nunes,M.L., Almeida,A.",2021-06-02T00:00:00Z,,Escherichia phage phT4A,dsDNA,171598,Portugal,,Escherichia coli,,2014-12-01
NC_055714,"Edmondson,J.L., Brown,K.M., Clay,L.G., Dean,J.R., Godwin,C.O., Hill,N.P., Jones,J., Jones,M.B., Lynch,M.K., Martin,S., Roark,C.M., Rogers,R.G., Savage,M.R., Schaal,D.L., Thomason,K.A., Woodall,A.M., Plymale,R., Reyna,N., King,R.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage Fortunato,dsDNA,70679,"USA: Arkadelphia, AR",AR,Mycolicibacterium smegmatis MC2 155,,
NC_055715,"Aleshkin,A.V., Volozhantsev,N.V., Verevkin,V.V., Krasilnikova,V.M., Myakinina,V.P., Popova,A.V., Svetoch,E.A.",2021-06-02T00:00:00Z,,Klebsiella phage KPV15,dsDNA,167034,,,Klebsiella pneumoniae,,
NC_055716,"Jun,J.W., Wicklund,A., Skurnik,M.",2021-06-02T00:00:00Z,,Yersinia phage fHe-Yen9-01,dsDNA,167773,Finland,,Yersinia enterocolitica,,2013
NC_055717,"Kim,H.J., Park,S.C.",2021-06-02T00:00:00Z,,Vibrio phage pVco-5,dsDNA,74325,South Korea,,Vibrio coralliilyticus,,2016-05-02
NC_055718,"Amarillas,L., Leon-Felix,J.",2021-06-02T00:00:00Z,,Escherichia phage phiC120,dsDNA,186570,Mexico,,Escherichia coli O157:H7,,2010-03-20
NC_055719,"Xu,X.",2021-06-02T00:00:00Z,,Synechococcus phage S-H35,dsDNA,174231,China,,Parasynechococcus marenigrum WH 8102,,2016-03-03
NC_055720,"Yang,Z., Tao,X., Gao,L., Rao,S.",2021-06-02T00:00:00Z,,Pseudomonas phage PspYZU05,dsDNA,166442,,,Pseudomonas sp.,,
NC_055721,"Kawasaki,T., Saad,A.M., Yamada,T.",2021-06-02T00:00:00Z,,Escherichia phage EcS1,dsDNA,175437,Japan,,Escherichia coli,,2016
NC_055722,"Sasaki,R., Miyashita,S., Ando,S., Ito,K., Tada,C., Fukuhara,T., Kormelink,R., Takahashi,H.",2021-06-02T00:00:00Z,,Burkholderia phage FLC5,dsDNA,32090,"Japan: Miyagi, Sendai, Aramaki-Aza-Aoba",,Burkholderia glumae,,2020-02-21
NC_055723,"Skurnik,M.",2021-06-02T00:00:00Z,,Yersinia phage fPS-90,dsDNA,167132,,,Yersinia,,
